--------------------   Cyclic Coordinate   --------------------

+-----+------------------------+---+---------+------------------------+-----------+------------------------+
|  k  |         x f(x)         | j |    d    |          y(j)          |   landa   |         y(j+1)         |
|  40 |       -27.431777       | 2 | (0 , 1) | (6.592578 , 33.762128) | -0.005490 | (6.592578 , 33.756638) |
|  41 | (6.592578 , 33.756638) | 1 | (1 , 0) | (6.592578 , 33.756638) | -0.001091 | (6.591487 , 33.756638) |
|  41 |       -27.431980       | 2 | (0 , 1) | (6.591487 , 33.756638) | -0.005490 | (6.591487 , 33.751148) |
|  42 | (6.591487 , 33.751148) | 1 | (1 , 0) | (6.591487 , 33.751148) | -0.000807 | (6.590679 , 33.751148) |
|  42 |       -27.432181       | 2 | (0 , 1) | (6.590679 , 33.751148) | -0.004029 | (6.590679 , 33.747119) |
|  43 | (6.590679 , 33.747119) | 1 | (1 , 0) | (6.590679 , 33.747119) | -0.000807 | (6.589872 , 33.747119) |
|  43 |       -27.432328       | 2 | (0 , 1) | (6.589872 , 33.747119) | -0.004029 | (6.589872 , 33.743089) |
|  44 | (6.589872 , 33.743089) | 1 | (1 , 0) | (6.589872 , 33.743089) | -0.000807 | (6.589065 , 33.743089) |
|  44 |       -27.432474       | 2 | (0 , 1) | (6.589065 , 33.743089) | -0.004029 | (6.589065 , 33.739060) |
|  45 | (6.589065 , 33.739060) | 1 | (1 , 0) | (6.589065 , 33.739060) | -0.000807 | (6.588257 , 33.739060) |
|  45 |       -27.432618       | 2 | (0 , 1) | (6.588257 , 33.739060) | -0.004029 | (6.588257 , 33.735031) |
|  46 | (6.588257 , 33.735031) | 1 | (1 , 0) | (6.588257 , 33.735031) | -0.000807 | (6.587450 , 33.735031) |
|  46 |       -27.432761       | 2 | (0 , 1) | (6.587450 , 33.735031) | -0.004029 | (6.587450 , 33.731001) |
|  47 | (6.587450 , 33.731001) | 1 | (1 , 0) | (6.587450 , 33.731001) | -0.000807 | (6.586642 , 33.731001) |
|  47 |       -27.432903       | 2 | (0 , 1) | (6.586642 , 33.731001) | -0.004029 | (6.586642 , 33.726972) |
|  48 | (6.586642 , 33.726972) | 1 | (1 , 0) | (6.586642 , 33.726972) | -0.000807 | (6.585835 , 33.726972) |
|  48 |       -27.433044       | 2 | (0 , 1) | (6.585835 , 33.726972) | -0.004029 | (6.585835 , 33.722943) |
|  49 | (6.585835 , 33.722943) | 1 | (1 , 0) | (6.585835 , 33.722943) | -0.000807 | (6.585027 , 33.722943) |
|  49 |       -27.433183       | 2 | (0 , 1) | (6.585027 , 33.722943) | -0.004029 | (6.585027 , 33.718913) |
|  50 | (6.585027 , 33.718913) | 1 | (1 , 0) | (6.585027 , 33.718913) | -0.000807 | (6.584220 , 33.718913) |
|  50 |       -27.433321       | 2 | (0 , 1) | (6.584220 , 33.718913) | -0.004029 | (6.584220 , 33.714884) |
|  51 | (6.584220 , 33.714884) | 1 | (1 , 0) | (6.584220 , 33.714884) | -0.000807 | (6.583412 , 33.714884) |
|  51 |       -27.433458       | 2 | (0 , 1) | (6.583412 , 33.714884) | -0.004029 | (6.583412 , 33.710855) |
|  52 | (6.583412 , 33.710855) | 1 | (1 , 0) | (6.583412 , 33.710855) | -0.000807 | (6.582605 , 33.710855) |
